8,1744889,-5,
8,1395430,-3,
8,1205593,3,
8,1488844,3,
8,1447354,-5,
8,306466,3,
8,1331154,3,
8,1818178,1,
8,991725,3,
8,1987434,3,
8,1765381,3,
8,433803,1,
8,1148143,-3,
8,1174811,5,
8,1684516,1,
8,754781,3,
8,567025,3,
8,1623132,3,
8,1567095,1,
8,1666394,5,
8,622194,3,
8,966375,3,
8,116582,-5,
8,1646405,5,
8,174868,-3,
8,327122,3,
8,135348,-3,
8,944189,3,
8,1041552,1,
8,2459251,3,
8,2327803,3,
8,440723,-3,
8,1826612,-3,
8,1574266,-5,
8,2105990,3,
8,1515871,-5,
8,1339724,1,
8,2161899,1,
8,46036,-3,
8,885929,-3,
8,180200,3,
8,603277,-5,
8,2551764,1,
8,1951144,-3,
8,1977925,3,
8,2162424,3,
8,2637831,3,
8,1620735,-3,
8,1863499,5,
8,2239227,3,
8,361407,1,
8,227469,-5,
8,1854947,-3,
8,2030564,-3,
8,411537,-3,
8,581766,1,
8,2004175,1,
8,452192,-3,
8,2002276,-5,
8,2459804,5,
8,2439795,-3,
8,228190,3,
8,1265877,3,
8,61863,3,
8,2628763,1,
8,21983,-3,
8,958382,1,
8,2570542,5,
8,248932,-5,
8,2605003,-3,
8,459486,3,
8,1117379,-3,
8,1378970,3,
8,489962,-5,
8,360830,-3,
8,19106,-3,
8,922922,1,
8,322178,-5,
8,2059716,3,
8,419330,5,
8,1007809,3,
8,319119,1,
8,1333,1,
8,1113647,5,
8,2530840,5,
8,793754,-5,
8,675390,-5,
8,1097350,-5,
8,2416619,-5,
8,2125035,1,
8,2127805,-5,
8,2577867,-5,
8,2541025,-5,
8,1478381,1,
8,2543231,1,
8,221091,-5,
8,1874317,3,
8,212729,3,
8,880866,-3,
8,324026,1,
8,1249686,-3,
8,1684328,5,
8,2397231,3,
8,2268573,-5,
8,2475820,1,
8,2286538,1,
8,69779,-5,
8,513501,1,
8,1784146,3,
8,1037313,-5,
8,854454,1,
8,1616406,3,
8,1888772,5,
8,1931966,-3,
8,2622904,-3,
8,1630930,1,
8,1645535,1,
8,107840,-3,
8,1188167,3,
8,1819877,1,
8,327691,3,
8,1599243,1,
8,1292617,-3,
8,933168,-3,
8,612895,1,
8,557562,-5,
8,1890622,-3,
8,229195,3,
8,2162245,3,
8,315484,5,
8,2514164,1,
8,1743758,1,
8,1990523,1,
8,697010,-3,
8,1979921,-5,
8,1572469,-5,
8,2596383,1,
8,264856,5,
8,304879,-3,
8,310799,3,
8,137982,-5,
8,1586699,5,
8,2487958,5,
8,1673185,-3,
8,2387904,1,
8,1902434,5,
8,2202206,3,
8,2355791,-3,
8,1227322,5,
8,2173758,-5,
8,1888322,-5,
8,1903175,1,
8,1794933,-3,
8,2537989,-5,
8,916412,-5,
8,968447,-3,
8,1400056,3,
8,1594764,-3,
8,1737886,1,
8,2252223,-5,
8,1187565,-3,
8,987066,5,
8,488900,5,
8,560944,3,
8,564748,1,
8,371300,-5,
8,446309,1,
8,1135038,-3,
8,2294864,-3,
8,959714,5,
8,652797,-3,
8,779945,3,
8,2503676,1,
8,1527895,1,
8,367976,1,
8,838138,-3,
8,423270,1,
8,2522946,5,
8,1602952,-5,
8,2407154,1,
8,1203779,-5,
8,1988873,3,
8,2289991,3,
8,43751,3,
8,347583,-3,
8,96124,1,
8,2171355,-5,
8,1398918,1,
8,2056324,3,
8,2404146,3,
8,1179117,3,
8,1466320,1,
8,2105661,3,
8,949660,1,
8,1747154,5,
8,2203834,3,
8,2430867,-3,
8,1365840,3,
8,1484015,1,
8,2364099,1,
8,1648695,5,
8,847615,1,
8,525356,3,
8,98044,1,
8,2371105,-3,
8,1294583,-5,
8,649969,5,
8,1857952,1,
8,1915354,3,
8,2072798,1,
8,1103813,1,
8,409592,-3,
8,1002367,1,
8,1733406,1,
8,2213715,1,
8,625699,-3,
8,2284627,-3,
8,2014322,1,
8,1581163,1,
8,781778,1,
8,493830,-5,
8,1424487,1,
8,1118103,3,
8,401047,-3,
8,2116402,5,
8,1840435,1,
8,2145575,3,
8,1538173,1,
8,530675,3,
8,741587,3,
8,660175,-3,
8,363163,5,
8,503179,-5,
8,2364018,1,
8,2219063,1,
8,1784150,1,
8,2568779,1,
8,1871937,1,
8,1716910,5,
8,1509395,-5,
8,491074,3,
8,670748,-5,
8,1305872,3,
8,1176800,3,
8,1555812,-3,
8,1944824,5,
8,1468766,5,
8,1469133,1,
8,1346269,-5,
8,1329723,5,
8,784041,1,
8,923889,-5,
8,2421481,3,
8,1952473,5,
8,2207273,1,
8,1253349,1,
8,1931026,3,
8,1630967,3,
8,1938727,3,
8,1724717,-3,
8,2254664,-5,
8,1270901,3,
8,2521442,1,
8,1676207,3,
8,2280656,-3,
8,431646,1,
8,334004,3,
8,505375,5,
8,1138195,1,
8,2219553,3,
8,29231,1,
8,447303,1,
8,1553126,1,
8,1506293,-3,
8,1582303,1,
8,810953,5,
8,1930463,-3,
8,295928,-3,
8,1658467,3,
8,1237096,1,
8,145615,5,
8,803911,3,
8,2167204,3,
8,2296095,5,
8,1652711,3,
8,469021,3,
8,493082,3,
8,785433,-3,
8,1289074,-5,
8,1001129,1,
